,metric,laplac_calc,fft_calc,optical_calc,reblur_calc,haff_calc,sobel_calc,hog_calc,lbp_calc,gabor_calc,ssim_calc,regression,lpips_calc
0,laplac_calc,1.0,0.042914572864321605,0.4194974874371859,0.43428577721814454,0.7407929653209959,0.3598994974874372,0.1251256281407035,-0.33015075376884423,-0.05999999999999999,-0.42201005025125626,0.08251256281407034,0.20859820605092202
1,fft_calc,0.042914572864321605,1.0,0.31025125628140704,0.10820571403565107,-0.05200936651317308,0.3328643216080402,-0.5326633165829145,-0.16703517587939698,-0.5360804020100502,-0.4464321608040201,0.39095477386934674,0.5534309909031087
2,optical_calc,0.4194974874371859,0.31025125628140704,1.0,0.2847651541870631,0.317050308957607,0.430251256281407,-0.28331658291457285,-0.3024120603015075,-0.37919597989949744,-0.5325628140703518,0.18703517587939697,0.45684564953238554
3,reblur_calc,0.4342857772181446,0.10820571403565107,0.2847651541870631,1.0,0.5472730034942016,0.3316795197130097,0.027896391543923097,-0.3152342690017639,-0.08994442336856218,-0.34711585933767597,0.07995620361142515,0.26686368760229323
4,haff_calc,0.7407929653209958,-0.05200936651317308,0.317050308957607,0.5472730034942016,1.0,0.28627852081693234,0.18992751204859035,-0.26902614123642293,0.017201934026180428,-0.32713941982340194,0.01256094302791474,0.1101758589269203
5,sobel_calc,0.3598994974874372,0.3328643216080402,0.430251256281407,0.33167951971300974,0.28627852081693234,1.0,-0.15678391959798996,-0.524824120603015,-0.23457286432160804,-0.37708542713567833,0.18170854271356784,0.4609663560841021
6,hog_calc,0.1251256281407035,-0.5326633165829145,-0.28331658291457285,0.0278963915439231,0.18992751204859035,-0.15678391959798996,1.0,0.13889447236180902,0.46773869346733665,0.3214070351758794,-0.2480402010050251,-0.4228749467401852
7,lbp_calc,-0.33015075376884423,-0.16703517587939698,-0.3024120603015075,-0.3152342690017639,-0.26902614123642293,-0.524824120603015,0.13889447236180902,1.0,0.03236180904522613,0.1951758793969849,-0.09005025125628141,-0.3533254605502367
8,gabor_calc,-0.05999999999999999,-0.5360804020100502,-0.37919597989949744,-0.08994442336856218,0.017201934026180428,-0.23457286432160804,0.46773869346733665,0.03236180904522613,1.0,0.4446231155778894,-0.2814070351758794,-0.4716198900958572
9,ssim_calc,-0.42201005025125626,-0.4464321608040201,-0.5325628140703518,-0.347115859337676,-0.327139419823402,-0.37708542713567833,0.3214070351758794,0.1951758793969849,0.4446231155778894,1.0,-0.2641206030150754,-0.5747380589266189
10,regression,0.08251256281407034,0.39095477386934674,0.18703517587939697,0.07995620361142515,0.01256094302791474,0.18170854271356784,-0.2480402010050251,-0.09005025125628141,-0.2814070351758794,-0.2641206030150754,1.0,0.26628809777495444
11,lpips_calc,0.20859820605092202,0.5534309909031087,0.4568456495323855,0.26686368760229323,0.1101758589269203,0.4609663560841021,-0.4228749467401852,-0.3533254605502368,-0.4716198900958572,-0.5747380589266189,0.26628809777495444,1.0
