,video,method,value
305,video_39,maxim_realblur_j,7.827206252865225
306,video_39,nafnet_reds,5.444767705359899
307,video_39,maxim_reds,2.082053130905068
308,video_39,real_blur,5.608905150333854e-06
309,video_39,deblurgan_inception,5.173175778018068
310,video_39,gt,8.901341195837453
311,video_39,mffdnet,0.0
312,video_40,gt,9.737763585164371
313,video_40,mffdnet,4.42286856272438
314,video_40,maxim_realblur_j,1.286926914170575
315,video_40,nafnet_reds,3.5390946739816114
316,video_40,real_blur,0.0
317,video_40,maxim_reds,0.053222476506622485
318,video_40,maxim_gopro,0.601803982551667
319,video_40,deblurgan_inception,7.011567774982597
320,video_41,maxim_reds,2.1480103744120846
321,video_41,gt,7.108543133977247
322,video_41,real_blur,0.0
323,video_41,nafnet_reds,5.585189241840431
324,video_41,mffdnet,1.1720859039703568
325,video_41,maxim_realblur_j,4.843821536964427
326,video_41,maxim_gopro,2.8607148433250957
327,video_41,deblurgan_inception,5.540555127594301
328,video_42,real_blur,0.0
329,video_42,maxim_reds,1.776592702353658
330,video_42,maxim_gopro,3.515345562726949
331,video_42,deblurgan_inception,4.625197797032665
332,video_42,mffdnet,0.7378668659812453
333,video_42,maxim_realblur_j,6.077316844899211
334,video_42,gt,5.988168651209097
335,video_42,nafnet_reds,7.033665726261957
336,video_43,deblurgan_inception,3.0514654841539928
337,video_43,real_blur,0.0
338,video_43,maxim_gopro,0.15579012154622207
339,video_43,maxim_reds,0.8730100961607548
340,video_43,maxim_realblur_j,3.79976161163187
341,video_43,nafnet_reds,5.219993299584161
342,video_43,gt,6.174197218222249
343,video_43,mffdnet,0.8906277165509309
344,video_44,maxim_reds,2.784541766912045
345,video_44,maxim_gopro,3.155187466514227
346,video_44,maxim_realblur_j,2.3128189935950796
347,video_44,deblurgan_inception,5.660391205804244
348,video_44,mffdnet,0.0
349,video_44,real_blur,1.1205648615794634
350,video_44,gt,6.168459459341007
351,video_44,nafnet_reds,3.811067354211868
352,video_45,nafnet_reds,3.871121582777412
353,video_45,maxim_realblur_j,2.1602128892478385
354,video_45,deblurgan_inception,3.13909418322656
355,video_45,maxim_reds,2.2917341041870953
356,video_45,mffdnet,0.12314688422003961
357,video_45,real_blur,0.0
358,video_45,gt,4.211923839974201
359,video_45,maxim_gopro,2.926594695858262
360,video_46,deblurgan_inception,2.9279654483976114
361,video_46,real_blur,0.0
